,Player Name,Players ID,Years Active,Position Played
474,Assis,c3d60a74,ssis 2017,MF
475,Sandro Chaves de Assis Rosa,e8e9647c,2001-2006,DF
476,Diego Assis,6606d4f2,2013-2016,DF
477,Lourival Assis,8d808ee3,2007-2012,FW
478,Maicon Assis,9e15a597,2012-2019,MF
479,Rafael Assis,3e7b58cc,2013-2017,MF
480,Rafael Assis,959f3344,2017-2020,FW
481,Rafael de Assis,c2391f02,ssis 2009,MF
482,Werick Souza de Assis,3b06f29f,ssis 2015,MF
483,Assisinho,5a882808,inho 2016,MF
484,Assuério,aa8ac4cd,2011-2014,FW
485,Dener Assunção Braz,2febe8ba,2014-2016,FW
486,"Marcos Assunção 1999-2014 · MF · Betis, Palmeiras, Roma, Santos",2c563885,1999-2014,DF
487,Paulo Assunção,41b7a8cf,2002-2013,MF
488,André Astorga,1b4e50f3,2003-2013,MF
489,Ataliba,7f57b77f,2002-2008,DF
490,Athirson,c90b26be,2000-2010,MF
491,Audálio,01a84f3f,2016-2017,MF
492,Augusto,6259b687,2018-2019,DF
493,Augusto,dd9cafb9,2009-2012,MF
494,Marcel Augusto Ortolan,3c42103b,2003-2013,DF
495,Alisson Augusto,7992af3a,usto 2017,FW
496,César Augusto,d4587849,usto 2007,DF
497,Diego Augusto,62f85e6f,2011-2013,FW
498,Fábio Augusto,a0eacf84,2003-2007,DF
499,Felipe Augusto,9a20c960,2015-2019,MF
500,Fernando Augusto,b8a82624,2018-2019,MF
501,Filipe Augusto,0e34de55,2012-2020,GK
502,Giovanni Augusto,2f94a698,2010-2019,MF
503,Jose Augusto,0d9b4cac,usto 2018,MF
504,Leo Augusto,a3818875,usto 2019,DF
505,Raphael Augusto,2e73aeec,2009-2020,ns
506,Raphael Augusto,69331d42,usto 2016,MF
507,Renato Augusto,2e10e2a3,2010-2011,MF
508,Renato Augusto,83a6367a,2005-2019,MF
509,Renato Augusto,d58064e3,usto 2011,MF
510,Rosana dos Santos Augusto,2fa2317d,2000-2017,MF
511,Zé Augusto,5680d6d8,2007-2008,MF
512,Ze Augusto,6c17bd68,2018-2019,MF
513,Zé Augusto,a89daa03,2003-2006,DF
514,Marco Aurélio Iubel,3d27ff0c,2007-2012,FW
515,Marco Aurélio Siqueira,8ed1f2c5,2002-2007,FW
516,Fábio Aurélio,68f0ce09,2000-2012,GK
517,Marco Aurélio,73eab6b2,2004-2008,MF
518,"Marco Aurélio 1998-2003 · DF · Palermo, Vicenza, Cosenza",f436428b,1998-2003,DF
519,Marcos Aurélio,6226374d,2006-2018,DF
520,Marcos Aurélio,d77acf98,2003-2010,MF
521,Auremir,3a2e6d70,2010-2019,MF
522,Auro,b234cb0e,2014-2019,MF
523,Cristiano Ávalos,7e07f6a9,2003-2008,DF
524,Danilo Avelar,eacb45fd,2010-2019,DF
525,Henrique Ávila,7dc9e6ff,vila 2017,MF
526,Ávine,366904dc,2008-2015,DF
527,Axel,c9891420,2004-2005,DF
528,Aylon,a87daabb,2014-2019,MF
529,Ayrton,77136673,2016-2019,MF
530,Ayrton,eb898574,rton 2016,MF
531,Pedro Ayub,3f2008c5,2006-2015,MF
