,Player Name,Players ID,Years Active,Position Played
415,Rafael Barrios,16f7625e,2014-2018,DF
416,Guillermo Barros Schelotto,6b452f26,2001-2011,DF
417,Gustavo Barros Schelotto,112fb7ce,2000-2006,FW
418,Juan Barros,88a4c565,2015-2020,MF
419,Agustina Barroso,e92ed6d1,roso 2019,FW
420,Julio Barroso,f6aa051f,2005-2020,DF
421,Isaías Barroza,548dcf8a,2019-2020,DF
422,Osvaldo Barsottini,97d3a531,2002-2017,MF
423,"Gustavo Bartelt 1998-2011 · FW · Gimnasia, Gimnasia y Esgrima de Jujuy, Roma, Rayo Vallecano",3fe8b8de,1998-2011,DF
424,Sebastián Bartolini,1b4a5d50,2009-2018,FW
425,Rodrigo Barucco,07cfd468,2005-2006,DF
426,Pablo Barzola,d73f999f,2003-2014,GK
427,Federico Basavilbaso,1349b36f,2001-2003,DF
428,Roberto Bassaletti,cdfa4be8,2005-2006,MF
429,Christian Bassedas,09f71b6d,2000-2002,MF
430,Adrián Bastía,3fa806c5,2001-2019,MF
431,Pablo Bastianini,fcfa49c4,2003-2010,MF
432,Sergio Bastida,70a95aba,2003-2010,FW
433,Germán Basualdo,6cbf12ce,2002-2015,MF
434,José Basualdo,f021c909,2001-2002,MF
435,Lucas Basualdo,136fe530,aldo 2015,MF
436,Augusto Batalla,fc627681,2015-2020,DF
437,Pablo Batalla,d8ddfc07,2002-2018,GK
438,Damián Batallini,be1395da,2016-2020,MF
439,Martin Batallini,df7284cd,lini 2018,MF
440,Nicolás Batista,0d0cc77a,2011-2015,DF
441,Fernando Batiste,ff1de3ae,2008-2019,DF
442,"Gabriel Batistuta 1998-2003 · FW · Roma, Fiorentina, Argentina, Internazionale",792d83d1,1998-2003,MF
443,Rodrigo Battaglia,d637fc22,2010-2020,FW
444,Sebastián Battaglia,d6bd320f,2001-2012,MF
445,Roberto Battión,ff13857b,2001-2016,MF
446,Agustín Battipiedi,dd7367c9,2010-2011,MF
447,Jonathan Bauman,cd7a0688,2009-2018,MF
448,Juan Bautista Cascini,dbd352a2,2016-2020,FW
449,Juan Bautista Cejas,a4757fc4,2016-2019,MF
450,Juan Bauza,8b6ac404,2016-2020,MF
451,Jonathan Bay,663d052d,2019-2020,MF
452,Cristian Baz,e4f081d9,2010-2011,DF
453,Daniel Bazán Vera,49e1e765,Vera 2003,MF
454,Gonzalo Bazán,e88fbdfb,2009-2017,FW
455,Mauro Bazán,4a58db50,2013-2014,MF
456,Nazareno Bazán,a286e68e,2017-2020,DF
457,Nicolás Bazzana,8bc93bbb,2016-2020,FW
458,Elias Bazzi,aede6de6,2006-2012,DF
459,Luciano Becchio,3b3d4028,2004-2016,DF
460,Leandro Becerra,76a8073d,2011-2014,FW
461,Raúl Becerra,87715149,2013-2019,MF
462,Carlos Bechtholdt,97d29889,oldt 2005,FW
463,Franco Bechtholdt,b5380d3f,2017-2020,MF
464,Diego Becker,c0f00b37,2016-2019,MF
465,Pablo Becker,3e05fa7b,2013-2020,MF
466,María Belén Potassa,ac0f9a17,2007-2019,MF
467,José Belforti,a8660886,2001-2013,FW
468,Oscar Belinetz,1a4dc6bf,netz 2015,DF
469,Iván Bella,734cc47c,2009-2018,FW
470,Rodrigo Bella,bb1a33d3,ella 2015,MF
471,Lautaro Belleggia,1ef158ad,2016-2018,DF
472,Franco Bellocq,b4d22e38,2014-2020,MF
473,Mauro Bellone,22183c43,2008-2011,MF
474,"Gonzalo Belloso 1999-2008 · FW · Rosario Central, Strasbourg, Lanús, Colón, Racing Club",2f278661,1999-2008,MF
475,Fernando Belluschi,269db7d5,2002-2020,FW
476,Tomás Belmonte,9928bf1a,2017-2020,MF
477,Mauro Beltramella,bfa7e032,ella 2017,MF
478,Lucas Beltrán,482d2bc3,2018-2020,GK
479,Exequiel Benavídez,cd0e0bc6,2007-2020,FW
480,Nicolás Benavidez,1b381f9b,2013-2014,MF
481,Jonatan Benedetti,3aa7128c,2016-2017,DF
